,min,Q1,median,Q3,max,ori_mean,filtered_mean
GLRX,0.2750070474998698,4.085522654128911,5.277240850366571,6.369680583343454,9.754804010451249,5.170747800744163,5.170747800744163
GMNN,2.689299160535892,5.394891335877447,5.881786954183768,6.302315582304805,8.238500278879492,5.815775964720018,5.844768639754269
GNA11,0.1505596765753814,3.9934478790051697,4.656780975486172,5.15835636777502,6.773732650607856,4.4338645552791025,4.562695557466908
GNA15,0.0,0.0976107966264223,0.2986583155645151,3.526379319449618,8.486392594275964,1.650287077447512,1.6313275354946062
GNAI1,0.0,2.616393738777264,4.20670945674401,5.161081313301826,8.449148645375436,3.7714104007105274,3.7714104007105274
GNAI2,1.2141248053528475,5.965873972833998,6.643422594547308,7.436565526453167,9.075318692553354,6.651784754149478,6.669344526688145
GNAS,1.6507645591169022,9.181778917855656,9.616537473503591,10.116051246429848,11.917595851424794,9.593622784039596,9.646638697412175
GNB5,0.1763227726404629,3.699049836805617,4.354028938054387,4.8915406871875415,6.842224612877244,4.231139210709897,4.29562016245829
GNPDA1,0.1890338243900171,4.772016702158636,5.2905695435754065,5.7630762088163525,7.402500490048462,5.186863799721129,5.329802290077697
GOLT1B,1.9411063109464315,4.457626869542879,4.998646839005795,5.462296201650806,7.781818679842354,4.983511371351304,4.976062079872461
GPATCH8,1.3448284969974411,3.8715956856493277,4.214901700980388,4.570766400762263,5.7636771418966,4.193606148090613,4.223961823078543
GPC1,0.070389327891398,3.237257770900372,4.752212474004567,5.9878321779534565,8.52720329811204,4.432897613413066,4.432897613413066
GPER1,0.0,0.2016338611696504,0.5459683691052926,1.4620452080465887,5.886306263452426,0.990035516588474,0.8264038512882333
GRB10,0.0,2.1331933816979984,3.8227297876714736,4.7688459415579985,7.038150810269382,3.385221955146887,3.385221955146887
GRB7,0.0,0.31903110131855933,2.390464731972398,4.415644222183701,10.98370619265935,2.575176243289779,2.575176243289779
GRN,3.082361969557473,6.659639165840781,7.32737287956132,7.92817723981457,10.05297553422471,7.249417685842014,7.274021936841077
