,min,Q1,median,Q3,max,ori_mean,filtered_mean
ZNF250,0.5945485495503542,2.0652245288609548,2.4828482830684653,3.0022522411455377,5.284662185483165,2.5762704972384447,2.5497787486836345
ZNF485,0.0,1.565597175854225,2.0426443374084937,2.537294463463547,4.182692297516191,2.0453748486419276,2.0453748486419276
ZNF304,0.0,1.8855703946267626,2.2971906700522418,2.6998818497823986,4.152183419055046,2.199606349963172,2.321241340859519
DCPS,1.541019153133559,3.1582560590462685,3.6351738298617584,4.122878636870961,6.416839741912829,3.654843057384283,3.6414710036193845
METTL9,2.4828482830684653,5.5358189261595605,5.950001673583568,6.373996110677813,9.544713339513663,5.950216700816597,5.953182062684212
CBX8,0.3785116232537298,2.360362222120684,2.8649259140687624,3.373300070693497,4.7692427951405385,2.8832362981585433,2.8903505216146756
RNF170,0.7311832415722002,2.9616233282869446,3.4235756648388147,3.8779895228317773,5.7073591320808825,3.4005329839612224,3.411448612991025
OSGEP,2.19534759832222,4.456477517079972,4.93969482603314,5.369029801332369,6.9096531145344775,4.919953138969009,4.926771168073944
MTPN,2.8914191868460786,5.955300893057704,6.38551673970119,6.8132884593026315,8.795552677945622,6.379820679722189,6.3957694857686915
FOXRED1,1.8559896973084808,4.5777309314900805,5.002927484523373,5.446420956292169,7.564225720206398,4.989013600366046,5.003923352917647
ANKRD27,1.879705766282288,3.7768934965216667,4.215288998977055,4.656210235113256,7.235056862707101,4.255262715052752,4.220806471621483
ZBED4,0.8639384504239714,2.946262756557117,3.3610663179813116,3.8752863403398874,5.7873802222963375,3.4270321398520327,3.42146652595937
AGO1,0.5360529002402097,2.541019153133559,3.057443767023126,3.496653128021826,5.666756591884804,3.030374040401326,3.029792379227114
ZNF764,0.7570232465074596,2.222649401171092,2.6507645591169022,3.0895827065462065,6.348728154231077,2.6722827507850533,2.6609789016484964
HNRNPA1,8.164655564179906,10.202048969594065,10.58688656002482,11.051344602169278,12.600749214098084,10.626161992620945,10.626859584608
SPNS1,2.204766750654613,4.451869461321641,4.913367980954963,5.276217254310568,6.837438714856374,4.856828470411463,4.873648990023103
RRP9,1.2448870591235344,4.475733430966398,4.982993556663157,5.402323593645436,6.843607046490561,4.916909737999749,4.934577012113024
NAP1L1,1.0285691521967708,8.20066550429378,8.690783409800314,9.173276708878545,11.081949392617586,8.662202735464787,8.669672487507931
NCAPH2,2.9616233282869446,4.753550980231941,5.2203286573025665,5.642050473824582,7.103182881320744,5.202255691844593,5.208495556048249
CRAMP1,0.5459683691052926,3.0682406689799806,3.464013391650251,3.881909226830719,5.642701571833233,3.4496809581021353,3.4723410519419264
RRNAD1,2.333423733725192,4.018366909439073,4.513490192476855,5.035183795428297,7.359837392963122,4.535643367492903,4.52449688864842
ALG1,1.1243281350022014,4.019034205963871,4.506525779043123,4.924218665078739,6.149747119504682,4.452845259773785,4.464160241105231
CCDC191,0.137503523749935,1.0617730888212105,1.5484345168764078,2.1085237300829665,4.695437110405369,1.6236905657458922,1.6126054258780154
ZNF641,0.01435529297707,1.6461626571578936,2.1391410897663654,2.5698521612503185,5.358958825832329,2.1279463288338594,2.115945151631914
SUV39H2,1.232660756790275,3.2230361827204614,3.6141207485165676,4.054845348262157,5.571676809970931,3.6167860794948066,3.626977425725636
ZNF445,0.2630344058337938,1.9708536543404835,2.411426245726465,2.8683901995389194,5.7489978500981485,2.4621084635644097,2.4348430562050267
TPP2,2.5058909297299574,4.440619014134656,4.9150420781304085,5.367370938694582,7.133296365700577,4.927063429225104,4.915158680717509
PNPLA8,1.2868811477881614,3.0763873075222636,3.572889668420581,4.077242240043445,5.6504773698971045,3.5781254897433907,3.581403378644614
FAAP100,1.5459683691052926,3.691532867173379,4.147305779860988,4.503825501608669,5.926948247949772,4.082227445053317,4.111946417784396
SELENOI,0.8318772411916731,3.4446006995755405,3.873813198359087,4.293333378843746,6.159064008810545,3.8705003235140607,3.8806097330699534
TRIM32,0.0285691521967709,2.9597665738119274,3.36527242994462,3.745237332129749,5.151777654732053,3.287440732806747,3.352272831321247
SH3BP5L,1.726831217032493,3.8609627978581167,4.316865264902628,4.748058620429839,6.585413272492013,4.308988323838572,4.307031256848548
ALAD,1.516015147003665,3.739578036224544,4.186659017202113,4.632413619154061,6.996275748989887,4.164506188952459,4.169873746008854
RANGAP1,2.9616233282869446,5.714176811358605,6.096240669482977,6.482404589013104,8.14639047567022,6.071749860613675,6.087780884474847
CLHC1,0.1634987322828795,2.0303328309981485,2.5459599088905414,3.104755804266582,4.594548549550354,2.5674708121056744,2.5674708121056744
FASTK,2.980025300238734,5.506129024412548,5.904242503203546,6.30199905287092,7.737010677681807,5.867540913065724,5.886589320478565
ZC3H7B,1.8875252707415875,4.485748713571219,4.902314792327686,5.291769079057194,6.576068579088089,4.87880217014012,4.899739020502525
PI4K2B,1.613531652917927,3.30887621945749,3.711494486308773,4.250203059348183,5.838447592548459,3.761072120947825,3.7611726438653448
FUNDC1,0.0565835283663675,4.1824926484124205,4.63488360756034,5.011112492369881,6.649328040984784,4.584276392303574,4.613413883153981
ZNF292,0.3448284969974411,2.3868109464722167,2.8747939492291597,3.3056045457104055,4.939226577728209,2.8658447564895906,2.8635149642408
SRPK2,2.0874628412503395,4.185866545311334,4.66305989565193,5.156232079064466,7.559032867745183,4.643798813836234,4.66039589108165
CALM2,7.3275077345872095,9.096272330353875,9.488532962654093,9.91696544486054,11.623607187314487,9.500441738866897,9.495238860639533
GEMIN8,1.3895668117627256,2.9202895171707604,3.449561223521154,3.9664752299499053,6.224773478437933,3.4322656539297234,3.428270649888939
RPTOR,0.5849625007211562,3.28724936472215,3.689858128034179,4.09971434465779,6.076601848618572,3.6964146624949996,3.703042687040559
TXLNG,1.7739963251111732,3.2555007331483865,3.736604875314249,4.218199904659337,6.287620044112067,3.741420638235984,3.737778006754043
MRPL34,3.700439718141092,5.652773284510777,6.087356752931823,6.460118933758624,8.353720260007384,6.048738443447003,6.062405099408821
CCDC28A,1.7398481026993275,3.4607354055409463,3.9443898861805122,4.483008901514528,6.258330472612426,3.982270725365259,3.9757533888205008
ATG101,1.9373443921502325,5.333065878076355,5.768316621416144,6.13791327845777,7.763145958149476,5.716826276580218,5.730199131615394
SMG1,1.2203299548795556,3.979796663932997,4.392658877919723,4.775709017716281,6.26622434219163,4.338992649406963,4.373360312140423
CD164,3.856985689782205,6.291161922567826,6.694462356740755,7.143406373347396,9.246693101578265,6.683678867715602,6.693615278004942
SAR1B,2.0874628412503395,4.847495622582356,5.292963114833019,5.733625421994662,6.987320865929254,5.2514489255472325,5.273600279685237
C5AR1,0.0,0.1634987322828795,0.4329594072761063,0.9945763230766931,4.45022149589718,0.6939506383586928,0.5637665733210294
TIMM13,2.584962500721156,5.356228948228868,5.807479536958552,6.272209861124567,7.962491184406369,5.775120245676544,5.791137239804687
TMCC1,0.765534746362977,2.713145587795041,3.1456765341985005,3.5993177936982264,7.726490661583732,3.192028458468014,3.1590995328353064
SYNRG,0.8559896973084807,3.2675357980687347,3.765534356360968,4.20984307259309,6.020813304252452,3.7412585830041345,3.7390570806215795
EEF1AKMT1,0.0,2.300121491087382,2.773994783294265,3.251718496707611,4.821199978056451,2.7632331426582533,2.7934993977463143
SARAF,3.6005076453457856,6.153602653432386,6.6276064766167355,7.0888929318780445,8.725536678431059,6.618408148053563,6.632816224564666
SLC10A7,0.632268215499513,2.130930869826449,2.593353275837857,3.0712409433475294,5.100977647724821,2.614897823314715,2.601754335463469
ZNF678,0.1634987322828795,1.7430828473526394,2.1858630609531033,2.662774834831383,4.91169158187234,2.2180671564884444,2.2077755324465933
CLN5,1.480265122054463,3.194953634590835,3.6235156227741454,4.077866807444709,6.736469582489009,3.6402901396377847,3.626662280236912
CCDC183,0.0,0.4329594072761063,0.7484612330040357,1.3419773504607224,5.403949364232865,0.9919846790587975,0.8906280629705821
VDAC3,3.565597175854225,6.48631197004327,6.975905109640805,7.385128911180647,9.71087529578098,6.935411557816414,6.946063080321148
NIPSNAP2,3.023255352300303,4.926592378399222,5.380070545143697,5.840462970348944,7.512779961100332,5.383778816807953,5.387094154103812
PGAM5,1.9068905956085185,4.551208275493114,4.985500430304885,5.383531473237623,8.39167321868639,4.954794666957738,4.961409965933898
ZNF384,1.2265085298086795,5.1388348448813685,5.584060252297782,5.953148686021672,7.931978467311445,5.520573880294782,5.5563186956917185
ARMT1,1.632268215499513,3.843983844048328,4.221490403222455,4.6610651419008295,8.544307634960582,4.270390164292841,4.237122840005164
KLHDC3,3.263034405833794,5.22766345557905,5.743891885819033,6.280955991892814,8.229251434099853,5.768894406864239,5.768959597371109
CBFB,0.4222330006830478,4.919101620443096,5.372777754464922,5.859596758871074,7.226508529808679,5.368512750024005,5.382939587658623
RAD54B,0.9107326619029126,2.9606961458734546,3.380590768014238,3.8745480112217354,5.372603915204483,3.394233068091726,3.403964206457633
METTL26,3.894332742277694,5.819092113427597,6.208770845151211,6.542025681968399,7.99655822604146,6.1421290231209875,6.147714101239909
CLK4,1.5801454844233804,3.2520975539847177,3.778733382523938,4.228816231788358,5.85897561429202,3.7372816739139907,3.743435112409272
USE1,2.2078928516413328,4.431957071532268,4.880194980400225,5.329213304975084,7.070496667279185,4.882469280475247,4.889276239060261
CLCC1,1.2448870591235344,3.6624896041251582,4.126394678498375,4.60229058486114,6.591410142982135,4.096674377608167,4.119348209729764
SECISBP2L,0.7048719644563528,2.827310675329188,3.260022512019909,3.7671247855545738,5.7227392362967135,3.267690188482349,3.258225805012835
ATF6,1.1826922975161902,4.244505194771323,4.617356513251749,5.0639341124235235,6.707635219545296,4.636408149062124,4.649752967457344
RHBDD1,0.0,2.7398481026993275,3.137503523749935,3.543495883425772,5.92765946070309,3.1424158386246344,3.1595639125940758
QPCTL,1.5459683691052926,3.0139086381085667,3.497612224263051,3.940400264934528,5.524815928357506,3.496042628476393,3.496042628476393
MKKS,0.0285691521967709,4.482686943875338,4.910732661902912,5.289650024500183,6.351204277257994,4.816639898756289,4.8811045565779905
KLHL25,0.1505596765753814,1.5680259368881504,2.047886274684661,2.583758249994661,4.608809242675524,2.068586148073739,2.0616786597975643
EXOSC2,2.1473066987802936,5.131342539123261,5.642845942397198,5.989536390412996,7.374604819190937,5.54817815148007,5.571655271966754
DYNC2I1,1.0426443374084935,2.5649874144913705,3.0933909056946653,3.583758249994661,5.083213368248981,3.057255118205102,3.057255118205102
TBC1D31,1.3103401206121503,3.6544886386719497,4.0900065299038175,4.4974524574929085,7.250961573533218,4.091873874590807,4.088720695522192
KNSTRN,3.1858665453113337,5.2629183570155185,5.726558779104974,6.072963223814216,7.648321626545025,5.643283027595884,5.673882474315348
IPO8,1.510961919277379,4.048541316289029,4.441947846939183,4.818132316887314,8.095555262199062,4.4362098936923235,4.41114053221518
NAA50,3.6959938131099,6.578712040756491,6.992312897854662,7.369793593744029,8.626256597943243,6.942208152579224,6.9823279896077315
POC1A,1.01435529297707,3.618238655595455,4.062638794925751,4.495213312399301,5.742275747540269,4.019185823499336,4.03957771178739
SEH1L,1.6507645591169022,4.657640005207824,5.085127164562654,5.540554067820326,6.845740932614582,5.0835406354856705,5.097225797248337
LRRC59,2.729008870337863,6.326384187507716,6.8099229981207205,7.206330637949415,9.467320243193358,6.767678909041346,6.776025544443717
JAK2,0.0565835283663675,1.2187786674978787,1.6599245584023783,2.1383223067581505,7.415741768290091,1.7171526290398988,1.6810733885898246
ABCB10,1.1375035237499351,3.0874598413227967,3.5527458057945562,3.975674673116858,7.399598369120114,3.5576973634376436,3.5366278632209998
GOT1,2.1538053360790355,4.936637419509195,5.433459473936992,5.905386971140063,8.497851836951117,5.438449816530139,5.453825803520237
CDK5RAP2,2.4672794804599825,4.441116838519175,4.871595561195209,5.329751089011432,9.091832039868027,4.907340107633731,4.8756475516276
DCAF11,1.8519988371124465,4.774259879168973,5.232654582940153,5.6764507753146844,7.627971551087804,5.207096313178052,5.226145874992922
RTL10,1.4059923596758368,2.856485455623791,3.2957230245399685,3.828324516755555,6.143842354196599,3.362933840441176,3.338837474004344
PI4K2A,0.0426443374084937,3.1988855457162875,3.649040451045362,4.083638691128721,6.288727679514566,3.626627030898331,3.6541290296769025
CCNB3,0.0,0.1890338243900171,0.4854268271702416,1.0089854492974204,4.552745936748446,0.7111028248256548,0.5958625541620473
ANKFY1,0.0426443374084937,3.6377840229745084,4.09296844739829,4.529977048569748,5.619999829821357,4.038794498269576,4.069922414547331
STRADA,2.0806576633452254,4.116239574506174,4.616471013063011,5.078630222704794,6.441450280216834,4.587900959721138,4.5950463127107986
ZNF566,0.0,1.6530545357488888,2.129282074776161,2.6028829443936203,5.013908845490639,2.1171424275745307,2.1369392132912237
SVBP,2.2720231890610485,4.025471610537545,4.444269350208899,4.881538772566515,7.087250664613308,4.480997720691334,4.463865077724805
NAA80,0.1243281350022017,2.469885976274464,2.923148867018554,3.4171772934210636,5.675533686225485,2.957037183091877,2.9519590734060377
PIP4K2B,1.6735564239901446,4.043516305147737,4.510960670405938,4.938520528402852,8.032486597873813,4.499426686819197,4.486220966347712
GANAB,3.130930869826449,7.463483459717058,7.934041510108853,8.302832772231683,9.55253461900604,7.867441360357645,7.8960402010955875
AGL,0.0285691521967709,2.3476656563009706,2.84197311892718,3.3063239990845936,8.389953933464724,2.858435676122663,2.851329514736189
MIGA2,1.459431618637297,3.5160151470036647,3.921245888585589,4.294068978948061,5.956289026583943,3.8852161717545135,3.894671139329219
SUZ12,1.5008020530571575,4.242220034167024,4.678070914491888,5.187253044835936,6.615739972713698,4.689839350145804,4.700770582591616
DYNC1H1,4.323370069061268,6.611392451234996,7.08533966935737,7.500263940857711,9.522463835492257,7.05025993832038,7.0540539829886955
RAD18,0.4646682670034443,2.9726926540042644,3.4066712726235204,3.8850859775736346,5.540709262671431,3.399438035069206,3.404029381044477
TAF4,1.15704371014558,3.351910961103077,3.77082904603249,4.172327491657617,6.051807107013298,3.7495013689549834,3.750492455632103
TECPR2,0.2387868595871164,2.048758521204631,2.5496686446717827,3.04483103493002,4.472487771462744,2.522378843484128,2.525645784805869
ARMC6,1.7865963618908067,4.41886457739032,4.8836207335082555,5.389222616355895,6.799993887663711,4.870775180222721,4.878277854169132
ITIH4,0.0,0.3334237337251918,0.765534746362977,1.3561438102252754,4.434294617959925,0.9509264661868138,0.910493116452277
HAUS4,3.19377174339668,4.797791130534672,5.321747735461384,5.855605967164865,7.418105597079493,5.317667280572675,5.317667280572675
CNIH1,3.5223068928713888,6.710840804740884,7.090906336498658,7.48532596649942,8.982195024459537,7.073520802690418,7.094235354508704
ARHGAP1,2.4828482830684653,4.448900497176433,4.83010297532728,5.275377291131456,6.57243496598233,4.836983675349538,4.843610497544059
SEC61A1,3.073820233291672,6.73382882853768,7.173477246965772,7.605330986742773,9.082122423118632,7.154827611068912,7.170997651870765
ZNF573,0.0,1.0071955014042038,1.5310694927259538,2.0250157729905194,4.547203024756931,1.5343947863626435,1.522660822695306
THNSL1,0.0,1.6311028711570472,2.068661587798915,2.493774982385146,4.504620392403552,2.0247918119004535,2.085744793244081
TMEM192,0.2141248053528473,2.8884987479911883,3.350479913457949,3.770827885714879,5.317593504623472,3.315308902133167,3.3383407921106913
C1orf109,1.0285691521967708,4.19374837779719,4.58796498888268,5.0110022649431505,8.95405087008826,4.6106181644574775,4.589240095724405
PELO,0.5459683691052926,2.9560530525122695,3.456145291675554,3.9049647551742597,5.199279721336625,3.425758971938607,3.433600909379266
SOS1,1.01435529297707,2.9981955031532523,3.38404980679516,3.828833578760908,6.994466584973962,3.4100380330459688,3.4022880719958226
PCYT1A,2.4776773275653072,4.436960876286026,4.882642966472147,5.3056056512840595,6.624539603781834,4.855684917536135,4.868245616086818
RGP1,0.5160151470036647,3.226122988606578,3.665620164066381,4.107058972655139,6.922078887766253,3.6519705347599185,3.6641082258933886
NUP50,2.788685710613534,4.816983606230501,5.264536235727988,5.67044347858028,7.743891910936568,5.240649397973573,5.245818736039955
RABL3,1.111031312388744,3.9623131372554887,4.3736467005975594,4.7334883795701375,5.838195439259188,4.316128073343017,4.350133028785286
PPP2R5D,1.0840642647884746,4.5255988783630325,4.980024648440379,5.402159298851376,6.927540949589466,4.934000607405709,4.947231176929469
OAZ2,2.885574364371426,5.645586385913608,6.133912722819062,6.533989618822338,8.02380978720236,6.055388116850759,6.073601390148771
SCRN2,2.1602748314085933,4.244696780163584,4.754885918957297,5.171927187899274,6.878112237463021,4.706866312001951,4.710400238093014
GLO1,4.331275267146615,6.43674952169789,6.897966350501983,7.381002085701658,9.535625314106328,6.888889901837041,6.878690201297727
DNAJC9,2.983677694698067,5.121117686526437,5.569247901875086,5.963705306579481,7.245932938198553,5.547066557230668,5.562697345594581
PCDHGA4,0.0,0.1243281350022017,0.4005379295837288,0.903038270112912,5.056583528366367,0.6164874303906718,0.5278818422334591
C1orf35,2.1076878693143737,4.324810064208423,4.763677117458629,5.135144648010044,6.486553492624526,4.720711759023045,4.743688653566723
USP37,0.3103401206121505,2.15218067675435,2.5472024969006672,2.9345155767333257,4.908812907739547,2.5517102319284217,2.5533068990948093
HPX,0.0,0.2016338611696504,0.4005379295837288,0.7570232465074596,6.97991101378556,0.6496209540423331,0.45344900685602213
MOSMO,1.1243281350022014,2.854492087847885,3.253988473641802,3.7095643807263716,6.462052318796433,3.3169011793843426,3.270232777260468
NARS1,2.8257856274647914,6.406247523285241,6.95611473893671,7.360605639981372,9.601622240730388,6.882692466887412,6.9005885677669845
DNTTIP1,0.0,4.832257097709762,5.2803990261162905,5.727781094606393,8.350541446622774,5.314499743765462,5.2902769534935326
TMEM129,1.8155754288625725,3.8222178346090625,4.323369349153923,4.719867908870721,6.562852959583925,4.271549178947081,4.295799491752391
MTHFD2L,1.0214797274104517,2.6270227509409105,3.064365282540889,3.5780328768909064,7.002027364744279,3.1057671608266695,3.083968725872111
KHNYN,0.3895668117627256,3.9966142367813178,4.503347473045518,4.888012585402829,6.864433796365624,4.431358331206391,4.449989417122114
TRPV1,0.1763227726404629,1.3045110418099528,1.8459903753016382,2.311066553406003,5.886062338345599,1.8441664797200814,1.83504147042933
OTUD6B,0.4750848829487828,3.492493724340679,3.9555917168368846,4.390254464516735,6.486875235498493,3.917143844105869,3.931340399071387
CEP57L1,1.1375035237499351,3.1870549268483277,3.6786352378397797,4.174725324711486,5.56498780095989,3.668250903797625,3.675157045145178
LRRC24,0.0,0.4541758931858021,0.8399595874895318,1.3785116232537298,4.89287670006069,1.0160507868523183,0.9507257243725715
DCAF8,2.613531652917927,5.7384964279826445,6.115193129232583,6.585938989079744,8.477879666248251,6.126086166365881,6.128614817998303
EEF1B2,6.341807889243937,9.217100522279269,9.696087901536325,10.172521145438832,11.767274080951395,9.690940246995966,9.695731566534954
AP2A2,2.1473066987802936,4.385943417857215,4.8718436485093175,5.281698250098829,6.687340687378304,4.822512433177385,4.836028785134114
WNT16,0.0,0.0426443374084937,0.1110313123887439,0.3219280948873623,7.122879749755239,0.3424366003869958,0.15747690438592304
NSFL1C,2.7548875021634687,5.685940148445977,6.158862049688723,6.612868220691528,8.460783511637256,6.143979005514297,6.147218591564152
VAMP7,0.1890338243900171,4.557654764307212,4.972692654004264,5.354205263533441,7.795065582659618,4.948145933358714,4.973616823884369
